,lbda,hC,hD,hE,hpC,hpD,hpE,f,df,W,dW,Up,dUp,F,dF,Fcorr,dFcorr
120,0.6,0.9767358838579171,0.4999999999999998,0.0,0.6425893972749458,4.6875,0.0,2.456791407115377,0.040358398294996205,1.111064099533249,0.0013265828990029695,-23.668530071151405,0.020926006178777795,6.090280328935411,0.10004673515687394,5.829201025935125,0.10009139578459811
121,0.605,0.9798159529139645,0.5234277362060544,1.916687011718755e-05,0.5896428199559717,4.6816424560546865,0.011427612304687518,2.411345500882767,0.04036086987844273,1.1110759972301776,0.0013345056761898248,-21.40084651406747,0.020020195004662462,5.977621880213432,0.10005286210603298,5.716516031740625,0.10009806695676049
122,0.61,0.9826344713512225,0.5467969335937499,0.0001504492187500004,0.537991908133515,4.664091796875,0.04456054687500008,2.370434311434396,0.040363224177007336,1.1110684333022567,0.0013420311408712902,-19.17344190121639,0.019137161571422607,5.876204799540997,0.10005869831100948,5.615115827246024,0.10010441780768663
123,0.615,0.9851982611040034,0.5700492730712887,0.0004981256103515638,0.4877745507824116,4.63491394042969,0.09770690917968768,2.3339672749029248,0.04036545943585482,1.111024238398488,0.0013489973106388272,-16.995831051259625,0.018366746992732257,5.785804582982539,0.10006423942164243,5.524814217976793,0.10011042758112844
124,0.62,0.987514840245136,0.5931268749999999,0.001158125000000003,0.4391313143333114,4.594218750000002,0.16921875000000028,2.3018327569244548,0.04036757446676954,1.1109276506251553,0.0013552562479831045,-14.87950165590009,0.017856393547204905,5.706144493746927,0.1000694824923963,5.445369648204956,0.1001160780023734
125,0.625,0.9895924363732376,0.6159725189208982,0.0022182464599609436,0.39220544267269397,4.542160034179688,0.25749206542968794,2.2738934988772055,0.04036956945101665,1.1107642890552136,0.0013606795527101707,-12.838441795583314,0.01779141811153161,5.636884273608823,0.10007442797261962,5.376473984741583,0.10012135577339218
126,0.63,0.9914399999999998,0.6385298632812498,0.00375837890625001,0.3471428571428575,4.478935546875,0.36096679687500055,2.2499812445011376,0.04037144688591505,1.110521129333753,0.0013651645742224262,-10.889430438401263,0.018348438119683532,5.57760682252963,0.10007908205305864,5.317739266710785,0.10012625548556663
127,0.635,0.9930672179374666,0.6607436651611327,0.005850720825195327,0.30409215654191785,4.4047869873046865,0.4781268310546883,2.2298909933591364,0.04037321258538386,1.1101864794640073,0.001368640659774143,-9.052122082312685,0.019634739309022497,5.527803953234688,0.10008345914616901,5.268683531032223,0.10013078266161407
128,0.64,0.9944845266853091,0.68256,0.00856000000000002,0.26320461712381665,4.32,0.6075000000000009,2.213375265363302,0.04037487664791595,1.1097499538926958,0.0013710747737586283,-7.3489562848316154,0.021655261029912436,5.4868621732204135,0.10008758428568063,5.228716669156405,0.10013495664423527
129,0.645,0.9957031258181106,0.7039264813232422,0.011943693237304718,0.22463419259832185,4.224904174804686,0.7476580810546886,2.2001386982317435,0.040376454317883566,1.1092024441260229,0.0013724759007091127,-5.804923258523289,0.024331709018076107,5.454049292081832,0.10009149526173723,5.197127115939257,0.10013881308586786
130,0.65,0.9967349913726423,0.72479248046875,0.016052246093750038,0.18853751413101505,4.119873046875,0.8972167968750012,2.189833236193625,0.040377966688734036,1.10853608431837,0.0013728977860504085,-4.447217343508797,0.027548953169451437,5.428502494519138,0.10009524436408838,5.173070013719769,0.10014240586484349
131,0.655,0.9975928892351398,0.7451093463134765,0.020929292602539114,0.1550738903433081,4.005324096679689,1.054835815429689,2.1820541037977517,0.040379441227253225,1.1077442105900484,0.001372439760807944,-3.3048103372037616,0.031192957436918738,5.40921835958218,0.10009889968171594,5.155557334345923,0.10014580835111699
132,0.66,0.9982903885285892,0.7648306250000001,0.026611875000000066,0.12440530731243088,3.8817187500000023,1.2192187500000016,2.1763366948251495,0.04038091213271308,1.1068213132431333,0.0013712456109643068,-2.407975811086885,0.03516933394532009,5.395045148418436,0.10010254599314554,5.143450282863218,0.10014911405617288
133,0.665,0.9988418749999995,0.7839122796630856,0.03313066345214852,0.09669642857142653,3.7495623779296903,1.3891131591796895,2.1721544455070223,0.040382420577758,1.1057629815440717,0.001369500652200894,-1.7877933330814528,0.03940862681258958,5.384677532071715,0.10010628536359342,5.13545415492605,0.10015243680801857
134,0.67,0.9992625644076873,0.8023129101562503,0.040510175781250095,0.07211459510918158,3.6094042968749998,1.5633105468750026,2.168917706356323,0.04038401490414231,1.104565841309911,0.001367427321720816,-1.47565787751995,0.04386574574804361,5.3766537948011,0.10011023763019128,5.130115682814527,0.10015591067601205
135,0.675,0.9995685159085509,0.8199939727783203,0.04876899719238293,0.05082982537038312,3.4618377685546875,1.74064636230469,2.165973580647803,0.04038575086243501,1.1032274861463338,0.001365279677716547,-1.5028148556298504,0.04851754159208866,5.369355433679931,0.10011454099620407,5.125822789013136,0.10015968992002258
136,0.68,0.9997766454453494,0.8369199999999998,0.05792000000000013,0.03301481525554868,3.3075,1.9200000000000021,2.1626066619579003,0.04038769198964039,1.1017464038059477,0.0013633371978100741,-1.8999355702054004,0.05336002227469622,5.361008986925497,0.10011935296713517,5.120806576732704,0.10016394925091408
137,0.685,0.9999047391339938,0.8530588201904298,0.06797056335449234,0.018844938121022378,3.1470721435546873,2.1002947998046904,2.1580405792330826,0.04038991021359267,1.1001218997241313,0.0013618982009501984,-2.6967420420661483,0.058405619246161555,5.349689864057064,0.10012485184899493,5.113145326169769,0.10016888466881417
